file,repetitiveCodeLines,DeadCodesAfterReturn,MultipleReturnStatementsInFunction,LongStatements,MultipleSameFunctionNames,LongClassOrMethod,LongLoopBlocks,LongConditionalBlocks,LongParameterList
./venv/bin/activate_this.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/_virtualenv.py,0,0,1,0,2,0,0,3,1
./venv/lib/python3.9/site-packages/wheel/metadata.py,0,0,1,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/wheel/macosx_libfile.py,11,0,2,0,0,3,0,6,0
./venv/lib/python3.9/site-packages/wheel/util.py,0,0,4,0,1,0,0,0,0
./venv/lib/python3.9/site-packages/wheel/__init__.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/wheel/pkginfo.py,0,0,0,0,2,0,0,1,0
./venv/lib/python3.9/site-packages/wheel/bdist_wheel.py,0,0,1,0,0,4,0,2,0
./venv/lib/python3.9/site-packages/wheel/wheelfile.py,0,0,0,0,1,2,0,2,0
./venv/lib/python3.9/site-packages/wheel/__main__.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/__init__.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/__main__.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/logging.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/windows_support.py,0,0,1,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/_deprecation_warning.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/package_index.py,1,4,17,0,5,2,0,4,2
./venv/lib/python3.9/site-packages/setuptools/archive_util.py,1,1,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/_imp.py,1,0,0,0,0,1,0,0,0
./venv/lib/python3.9/site-packages/setuptools/config.py,7,0,10,0,3,5,0,2,0
./venv/lib/python3.9/site-packages/setuptools/version.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/depends.py,0,4,6,0,0,1,0,0,0
./venv/lib/python3.9/site-packages/setuptools/__init__.py,0,3,3,0,2,1,0,0,1
./venv/lib/python3.9/site-packages/setuptools/installer.py,0,0,1,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/glob.py,6,1,4,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/sandbox.py,10,1,8,0,5,2,0,1,8
./venv/lib/python3.9/site-packages/setuptools/py34compat.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/launch.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/extension.py,0,0,1,0,0,0,0,0,1
./venv/lib/python3.9/site-packages/setuptools/unicode_utils.py,0,0,3,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/monkey.py,0,2,2,0,0,1,0,0,0
./venv/lib/python3.9/site-packages/setuptools/build_meta.py,1,2,1,0,1,1,0,0,0
./venv/lib/python3.9/site-packages/setuptools/errors.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/dep_util.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/msvc.py,39,1,26,0,1,7,0,2,0
./venv/lib/python3.9/site-packages/setuptools/dist.py,7,4,15,0,0,2,0,2,0
./venv/lib/python3.9/site-packages/setuptools/wheel.py,0,0,1,0,0,2,0,1,0
./venv/lib/python3.9/site-packages/setuptools/namespaces.py,0,0,1,0,2,1,0,0,0
./venv/lib/python3.9/site-packages/pkg_resources/__init__.py,7,14,45,0,38,8,0,6,3
./venv/lib/python3.9/site-packages/_distutils_hack/__init__.py,0,0,3,0,0,1,0,0,0
./venv/lib/python3.9/site-packages/_distutils_hack/override.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/wheel/cli/pack.py,0,0,0,0,0,1,0,2,0
./venv/lib/python3.9/site-packages/wheel/cli/convert.py,4,0,1,0,0,3,0,0,0
./venv/lib/python3.9/site-packages/wheel/cli/__init__.py,0,0,1,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/wheel/cli/unpack.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/wheel/vendored/__init__.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/configuration.py,0,0,1,0,0,1,0,2,0
./venv/lib/python3.9/site-packages/pip/_internal/pyproject.py,4,0,0,0,0,0,0,2,0
./venv/lib/python3.9/site-packages/pip/_internal/cache.py,7,0,1,0,1,2,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/__init__.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/exceptions.py,0,0,2,0,3,0,0,0,1
./venv/lib/python3.9/site-packages/pip/_internal/main.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/wheel_builder.py,9,0,1,0,0,0,0,2,0
./venv/lib/python3.9/site-packages/pip/_internal/self_outdated_check.py,0,0,2,0,0,1,0,2,0
./venv/lib/python3.9/site-packages/pip/_internal/build_env.py,9,0,0,0,2,2,0,1,0
./venv/lib/python3.9/site-packages/pip/_vendor/__init__.py,0,0,0,0,0,0,0,1,0
./venv/lib/python3.9/site-packages/pip/_vendor/six.py,4,1,8,0,12,2,0,5,1
./venv/lib/python3.9/site-packages/pip/_vendor/distro.py,9,0,10,0,18,7,0,1,0
./venv/lib/python3.9/site-packages/pip/_vendor/pyparsing.py,120,15,83,0,31,52,0,32,13
./venv/lib/python3.9/site-packages/setuptools/_vendor/__init__.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/_vendor/ordered_set.py,3,3,10,0,0,1,0,0,0
./venv/lib/python3.9/site-packages/setuptools/_vendor/pyparsing.py,100,16,76,4,29,38,0,23,13
./venv/lib/python3.9/site-packages/setuptools/command/bdist_egg.py,0,0,3,0,0,1,0,2,0
./venv/lib/python3.9/site-packages/setuptools/command/alias.py,0,0,2,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/command/py36compat.py,0,0,1,0,0,1,0,2,0
./venv/lib/python3.9/site-packages/setuptools/command/build_ext.py,3,0,3,0,0,2,0,5,0
./venv/lib/python3.9/site-packages/setuptools/command/easy_install.py,12,3,18,0,4,12,0,8,6
./venv/lib/python3.9/site-packages/setuptools/command/install_scripts.py,0,0,0,0,0,0,0,0,1
./venv/lib/python3.9/site-packages/setuptools/command/upload.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/command/register.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/command/dist_info.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/command/install_lib.py,0,0,3,0,0,1,0,0,0
./venv/lib/python3.9/site-packages/setuptools/command/upload_docs.py,0,0,0,0,0,2,0,0,0
./venv/lib/python3.9/site-packages/setuptools/command/build_py.py,1,0,3,0,0,1,0,0,0
./venv/lib/python3.9/site-packages/setuptools/command/__init__.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/command/sdist.py,0,0,1,0,0,1,0,0,0
./venv/lib/python3.9/site-packages/setuptools/command/test.py,0,2,5,0,1,2,0,0,0
./venv/lib/python3.9/site-packages/setuptools/command/saveopts.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/command/bdist_rpm.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/command/build_clib.py,2,0,0,0,0,2,0,0,0
./venv/lib/python3.9/site-packages/setuptools/command/egg_info.py,0,1,3,0,5,5,0,2,1
./venv/lib/python3.9/site-packages/setuptools/command/install.py,0,0,2,0,0,2,0,0,0
./venv/lib/python3.9/site-packages/setuptools/command/develop.py,0,1,0,0,0,2,0,0,0
./venv/lib/python3.9/site-packages/setuptools/command/rotate.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/command/install_egg_info.py,0,0,2,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/command/setopt.py,0,0,1,0,2,1,0,0,0
./venv/lib/python3.9/site-packages/setuptools/extern/__init__.py,0,0,0,0,0,1,0,0,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/_msvccompiler.py,2,4,7,0,0,2,0,1,0
